编号	分类	内容属性	逐篇摘要
47	A 制度与监管框架	图解待补读	本地文本仅保留标题、摘要及图片链接，暂按新规概览归类；无法仅凭现有文字总结图内变化细节。
48	C 识别规则与主体实务	历史规则与案例	讨论合伙、国有企业、股权表决权分离及基金信托，包含235号文、164号文等当时口径；应标注为2025年历史材料。
49	F 产品方案与机构实践	产品方案	介绍中数智汇辅证受益所有人方案，结合三类算法、DBot RPA留存、历史关系追溯与变更监控应对备案制度变化。
50	B 备案操作与指南	历史办事指引	汇集32省市备案渠道、操作说明和咨询方式，展示辽宁流程并链接各地指引；外链和图片细节未纳入本地正文。
51	A 制度与监管框架	征求意见稿与起草说明	保存征求意见稿及制定背景，说明原则、主体范围、差异机制和法律责任，适合与正式版比较。
52	F 产品方案与机构实践	征求意见阶段产品方案	介绍中数智汇识别核实、加强措施、差异报告、持续更新及存量客户服务，反映征求意见阶段的方案响应。
53	A 制度与监管框架	征求意见稿解读	按适用范围、认定标准、工作流程与法律责任解读征求意见稿，并讨论金融机构制度、系统和操作准备。
54	A 制度与监管框架	正式办法转载	本地保存正式办法全文，覆盖识别标准、核实、差异反馈和存量安排，是理解后续解读所引用条文的基础文本。
55	F 产品方案与机构实践	正式版阶段产品方案	更新中数智汇标准识别、加强尽调、差异报告、持续更新和存量客户服务；与10月方案形成版本对照。
56	A 制度与监管框架	制度演进解读	从FATF背景及新旧标准比较切入，讨论正式版与草案在差异处理、过渡期限及操作流程上的变化。
57	B 备案操作与指南	指南版本对比	对比两版备案指南，重点解释特殊持股主体、权利形成日期、免报门槛表述和示例修订。
58	C 识别规则与主体实务	公司类教程	以有限公司和股份公司为对象，按查股东、层层穿透、确认结果展开，结合深度求索相关股权示例说明方法。
59	C 识别规则与主体实务	国企教程	讨论国有属性、简化识别和参股情形，列举所需资料及杭州热联案例，强调央企查询以外还需核对地方国资信息。
60	H 活动预告与会议资讯	直播预告	预告识别、加强措施、持续更新和差异反馈实务直播，反映客户对核实依据、留痕和流程衔接的需求。
61	H 活动预告与会议资讯	直播预告与AI展示预告	预告BOMIS差异流程、十类案例及报告智能体演示；AI内容属于活动展示计划，不能据此认定生产部署成效。
62	C 识别规则与主体实务	合伙企业教程	围绕合伙权益、收益分配、表决安排和事务执行权，按收集协议、核验资料、识别自然人展开，强调出资比例与控制收益可能分离。
63	D 核实举证、差异反馈与持续识别	直播实务问答	汇总识别标准、境外结构、假冒国企、差异处置与一户一档留痕；部分判断用语与同目录其他文章存在冲突，应保留复核标记。
64	C 识别规则与主体实务	民政主体教程	区分社会团体、社会服务机构、基金会及基层自治组织，讨论治理结构、资金决策、简化与豁免及官方核验渠道。
